name,writer,translator,publisher,year_of_publication,format,number_of_pages,language,ISBN,category,price
 کاوه و کشتی فضایی,حسین حسن نژاد,-,انتشارات چشمه آفرینش,۱۳۹۹,PDF,45,فارسی,978-622-7625-04-2,کتاب‌های کمیک و رمان‌های مصور,20000 ت - 2.49 یورو
 این منم ماری کوری,برد ملتزر,سیده هستی حسینی,انتشارات مهرسا,۱۴۰۰,PDF,44,فارسی,978-622-743708-9,کتاب‌های کمیک و رمان‌های مصور,12000 ت - 1.49 یورو
 آن شرلی با موهای قرمز,لوسی ماد مونتگومری,رویا صهبایی,انتشارات سایه گستر,۱۴۰۱,PDF,97,فارسی,978-600-374-918-4,کتاب‌های کمیک و رمان‌های مصور,17000 ت - 2.49 یورو
 کنت مونت کریستو,آر. جی نادز,رویا صهبایی,انتشارات سایه گستر,۱۴۰۱,PDF,115,فارسی,978-600-374766-1,کتاب‌های کمیک و رمان‌های مصور,17000 ت - 2.49 یورو
 آفرو سامورایی - جلد اول,تاکاشی اوکازاکی,الناز معتمدی,نشر ترنگ,۱۴۰۱,PDF,166,فارسی,978-622-7741-52-0,کتاب‌های کمیک و رمان‌های مصور,30000 ت - 6.49 یورو
 ایلیا تولد یک قهرمان 13,امین توکلی,-,انتشارات کمیکا,۱۴۰۰,PDF,40,فارسی,978-622-98057-0-1,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 یانگون: سفری به برمه,گی دولیل,عاطفه احمدی,نشر اطراف,۱۳۹۸,PDF,272,فارسی,978-622-6194-10-5,کتاب‌های کمیک و رمان‌های مصور,29000 ت - 3.49 یورو
 پیونگ یانگ: سفری به کره‌ی شمالی,گی دولیل,عاطفه احمدی,نشر اطراف,۱۳۹۹,PDF,184,فارسی,978-622-6194-05-1,کتاب‌های کمیک و رمان‌های مصور,29000 ت - 3.49 یورو
 شنژن: سفری به چین,گی دولیل,عاطفه احمدی,نشر اطراف,۱۳۹۸,PDF,153,فارسی,978-622-6194-19-8,کتاب‌های کمیک و رمان‌های مصور,28000 ت - 3.49 یورو
 نگهبان سنگ 1: خانه‌ سایلاس,کازو کیبوایشی,پارسا ذی قیمت,انتشارات پرتقال,۱۳۹۹,PDF,191,فارسی,978-600-462-778-8,کتاب‌های کمیک و رمان‌های مصور,47600 ت - 8.99 یورو
 سرود کریسمس,اسکات مک کولار,رویا صهبایی,انتشارات سایه گستر,۱۴۰۱,PDF,73,فارسی,978-600-374746-3,کتاب‌های کمیک و رمان‌های مصور,17000 ت - 2.49 یورو
 آفرو سامورایی - جلد دوم,تاکاشی اوکازاکی,الناز معتمدی,نشر ترنگ,۱۴۰۱,PDF,161,فارسی,978-622-7741-53-7,کتاب‌های کمیک و رمان‌های مصور,30000 ت - 6.49 یورو
 پیاده‌ها,جان لوییس,محمد جباری,نشر اطراف,۱۳۹۹,PDF,560,فارسی,978-600-98019-8-5,کتاب‌های کمیک و رمان‌های مصور,59000 ت - 6.49 یورو
 کوچه‌های شهر شگفتی,نی جون,احسان چادگانی,انتشارات پرتقال,۱۳۹۹,PDF,132,فارسی,978-600-462-748-1,کتاب‌های کمیک و رمان‌های مصور,35600 ت - 6.49 یورو
 ایلیا تولد یک قهرمان 14,امین توکلی,-,انتشارات کمیکا,۱۴۰۱,PDF,36,فارسی,978-622-98057-1-8,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 سرزمین مقدس: سفری به فلسطین,گی دولیل,عاطفه احمدی,نشر اطراف,۱۳۹۹,PDF,346,فارسی,978-622-6194-36-5,کتاب‌های کمیک و رمان‌های مصور,33500 ت - 3.99 یورو
